Dates,1,2,3,4,5,6,7,8
1979-10-28,21.42,21.42,21.42,21.42,21.42,21.42,21.42,21.42
1979-10-29,19.788,19.788,19.788,19.788,19.788,19.788,19.788,19.788
1979-10-30,19.848,19.848,19.848,19.848,19.848,19.848,19.848,19.848
1979-10-31,20.069,20.069,20.069,20.069,20.069,20.069,20.069,20.069
1979-11-01,22.077,22.077,22.077,22.077,22.077,22.077,22.077,22.077
1979-11-02,22.297,22.297,22.297,22.297,22.297,22.297,22.297,22.297
1979-11-03,21.299,21.299,21.299,21.299,21.299,21.299,21.299,21.299
1979-11-04,22.574,22.574,22.574,22.574,22.574,22.574,22.574,22.574
1979-11-05,22.344,22.344,22.344,22.344,22.344,22.344,22.344,22.344
1979-11-06,22.172,22.172,22.172,22.172,22.172,22.172,22.172,22.172
1979-11-07,23.017,23.017,23.017,23.017,23.017,23.017,23.017,23.017
1979-11-08,22.558,22.558,22.558,22.558,22.558,22.558,22.558,22.558
1979-11-09,22.325,22.325,22.325,22.325,22.325,22.325,22.325,22.325
1979-11-10,22.439,22.439,22.439,22.439,22.439,22.439,22.439,22.439
1979-11-11,22.509,22.509,22.509,22.509,22.509,22.509,22.509,22.509
1979-11-12,22.138,22.138,22.138,22.138,22.138,22.138,22.138,22.138
1979-11-13,21.401,21.401,21.401,21.401,21.401,21.401,21.401,21.401
1979-11-14,20.567,20.567,20.567,20.567,20.567,20.567,20.567,20.567
1979-11-15,19.876,19.876,19.876,19.876,19.876,19.876,19.876,19.876
1979-11-16,20.876,20.876,20.876,20.876,20.876,20.876,20.876,20.876
1979-11-17,22.778,22.778,22.778,22.778,22.778,22.778,22.778,22.778
1979-11-18,22.416,22.416,22.416,22.416,22.416,22.416,22.416,22.416
1979-11-19,22.414,22.414,22.414,22.414,22.414,22.414,22.414,22.414
1979-11-20,22.829,22.829,22.829,22.829,22.829,22.829,22.829,22.829
1979-11-21,22.444,22.444,22.444,22.444,22.444,22.444,22.444,22.444
1979-11-22,24.18,24.18,24.18,24.18,24.18,24.18,24.18,24.18
1979-11-23,23.279,23.279,23.279,23.279,23.279,23.279,23.279,23.279
1979-11-24,20.546,20.546,20.546,20.546,20.546,20.546,20.546,20.546
1979-11-25,21.613,21.613,21.613,21.613,21.613,21.613,21.613,21.613
1979-11-26,20.64,20.64,20.64,20.64,20.64,20.64,20.64,20.64
1979-11-27,21.941,21.941,21.941,21.941,21.941,21.941,21.941,21.941
1979-11-28,22.092,22.092,22.092,22.092,22.092,22.092,22.092,22.092
1979-11-29,23.062,23.062,23.062,23.062,23.062,23.062,23.062,23.062
1979-11-30,23.92,23.92,23.92,23.92,23.92,23.92,23.92,23.92
1979-12-01,20.798,20.798,20.798,20.798,20.798,20.798,20.798,20.798
1979-12-02,21.241,21.241,21.241,21.241,21.241,21.241,21.241,21.241
1979-12-03,22.701,22.701,22.701,22.701,22.701,22.701,22.701,22.701
1979-12-04,22.699,22.699,22.699,22.699,22.699,22.699,22.699,22.699
1979-12-05,21.097,21.097,21.097,21.097,21.097,21.097,21.097,21.097
1979-12-06,21.993,21.993,21.993,21.993,21.993,21.993,21.993,21.993
1979-12-07,21.707,21.707,21.707,21.707,21.707,21.707,21.707,21.707
1979-12-08,22.174,22.174,22.174,22.174,22.174,22.174,22.174,22.174
1979-12-09,21.471,21.471,21.471,21.471,21.471,21.471,21.471,21.471
1979-12-10,18.802,18.802,18.802,18.802,18.802,18.802,18.802,18.802
1979-12-11,25.543,25.543,25.543,25.543,25.543,25.543,25.543,25.543
1979-12-12,21.637,21.637,21.637,21.637,21.637,21.637,21.637,21.637
1979-12-13,22.981,22.981,22.981,22.981,22.981,22.981,22.981,22.981
1979-12-14,22.261,22.261,22.261,22.261,22.261,22.261,22.261,22.261
